"date","investment","low_risk","momentum","profitability","short_term_reversal","size","value"
1951-11-30,-0.023938795284477,-0.000429932062062013,0.00391368880712355,0.00273881238453712,0.0104142239057139,-0.00890490038885053,0.00129030492643191
1951-12-31,-0.0103124900188151,0.00136035058606555,0.00918808917254866,0.0174958252939656,-0.00192570333117488,-0.0161802895448539,-0.0111019984794656
1952-01-31,0.000757555597005304,0.00476573039205727,0.00798951726660178,-0.000279635667401099,0.0132561382666905,-0.00269174879126557,0.00113493146926516
1952-02-29,0.00423279854631089,0.00996787192064354,-0.00498545969169143,0.000692435758439269,0.00376102503725877,0.00296587979872085,0.0132147400290192
1952-03-31,0.00232674770385826,-0.00891450634023635,0.012000908307646,0.00974887106656209,0.00517452241657926,-0.0230950717651431,0.00638737302290656
1952-04-30,-0.0018968543111354,0.0227671934849993,0.000742579703086432,-0.00433924108391183,0.00673407638025571,0.0063571535600582,0.000944603958967634
1952-05-31,-0.011881378958533,-0.00260466922901391,0.00858820266465979,0.00618111791511566,0.00660215169779458,-0.00149317329296441,-0.00515220509552544
1952-06-30,-0.00741157616707742,-0.0126865074988128,0.00259459917298295,0.00478901255087475,-0.00259796519933366,-0.0139112869112345,0.00285754281200422
1952-07-31,-0.000277440568111328,0.00820558666974743,0.00307191339890261,0.00587599204738145,0.00688993546938628,-0.00381772137968377,0.00711098234864307
1952-08-31,0.00936549387092808,0.0104082503069768,0.0014061200616962,-0.00890918496619987,-0.000223856265518289,0.00798122173214189,0.00514395435974109
1952-09-30,0.00149154445214773,0.0104275495982181,0.0134468404251965,0.000395050152140178,0.000902133417066425,0.0081601105597303,0.000322304115587459
1952-10-31,0.00358537980413151,-0.00121609260094014,0.0162203010185493,0.00424164399042177,-0.00100356386647474,-0.00102373728779358,0.00192252150491915
1952-11-30,-0.0097547549191204,-0.00816435959480216,0.00440292482563015,0.0127824307196367,0.00675302775180208,-0.00971693478483228,0.00475705786392663
1952-12-31,-0.00492519622730635,-0.00662170838675019,0.0093291391104501,5.68407032733758e-05,0.00752639793154472,-0.0093494141517061,-0.000768386595023538
1953-01-31,0.013392250722468,-0.00464504146784705,-0.00555981423711361,-0.0131473492079887,0.0022444133093591,0.0417748015010012,0.0220038666828767
1953-02-28,0.00652769658945705,-0.00431984095333887,0.00358320045413925,-0.0145800410764368,-0.00522820854824224,0.0138512806897997,-0.00114552189210177
1953-03-31,0.000472583629727491,0.0139500071892261,-0.00966780250330698,-0.00651080849419951,0.0107011950581158,0.0031637295367762,-0.0035698671345071
1953-04-30,0.00848246965361003,0.0021043218832723,0.0113807109177714,-0.00810025639525834,0.00127741517580328,0.00401348924207284,0.00607354523772865
1953-05-31,0.00113739087621414,-0.00261368680061395,0.00684413502531566,0.00585857772479138,-0.00129911896228929,-0.00657894987657835,0.00159867357678207
1953-06-30,0.00135247859718478,0.0117974605607713,0.0056400547816331,0.00589571362545172,0.000449510381937859,-0.0164768649694617,-0.0050083290103832
1953-07-31,2.68673777100442e-05,0.00467238630463223,0.00403415619359085,-0.000115722248371397,0.000231455246510955,-0.0108796696308125,-0.000702561498064549
1953-08-31,0.00715580338756402,0.0380583570979558,0.00641583015295027,0.00212031322988313,0.00458859605518954,-0.00595379039820625,-0.00908496691843036
1953-09-30,-0.00838461810916133,0.00453333999484954,0.0185852933953597,0.0165563277370973,-0.00175755960489081,-0.0181224087355413,-0.00777940123410708
1953-10-31,-0.00579424308359337,-0.0097751025701338,0.00409678867428272,0.0103835031501697,0.00315393726387027,-0.0172870129219025,0.00679748809552689
1953-11-30,-0.00518251500323982,0.00124425886475785,0.0146024257698773,0.00836183238511019,0.000183197877437619,-0.00591392534254756,-0.00730996339281466
1953-12-31,-0.00203442147658877,0.0239923120742882,0.0441150109077258,0.0132098807143421,-0.00198574624845574,-0.0211009656431517,-0.0118808749011143
1954-01-31,-0.00193556531031687,-0.0275165306604619,-0.0472309668695428,-0.0147915624740682,0.0146276785782286,0.0200694917307957,0.0192706278413887
1954-02-28,-0.00601486055915544,0.00215780263680499,0.0151067235845445,0.00341050490905634,0.0088917523905198,-0.00630122756112917,-0.00386426002864692
1954-03-31,-0.0145922034423776,-0.00671261183882335,0.0195304655357129,0.0166491474618256,0.00310514325173069,-0.00708146017339036,-0.00676038000050707
1954-04-30,-0.0135043856171895,0.0103612022869403,0.030729308510056,0.0179584854257293,0.00308599821094552,-0.0226466782162995,-0.0155644029023517
1954-05-31,0.000620129647662764,-0.0152485902002279,-0.0106680825545686,-0.00259555886760764,0.00914640977500119,0.00390545536408478,0.0105344982196932
1954-06-30,3.3618334297276e-05,0.00842330126345665,0.0129702906385812,0.00228789379477736,0.0113725918127586,0.00333994730860443,0.000699766017424627
1954-07-31,0.00275093363518195,-0.0176829795826974,-0.00274346423179762,-0.0118498651840037,0.00350143982210048,0.0262120907031612,0.0185673209324047
1954-08-31,0.00917938148228136,0.00522151120487145,-0.0118483098636051,-0.010566638036786,0.0123941369408359,0.0178570659029282,0.0140082346753796
1954-09-30,-0.00796406758875982,-0.00886245110459761,0.00805567773947861,0.00432819043278186,0.00304535497483724,-0.0087054399356725,-0.00318450769210882
1954-10-31,-0.00418888683330219,-0.0033519024424724,0.00853283190480634,0.0121842446334283,0.00442609968426953,0.00329089545086949,0.00264042939781814
1954-11-30,0.0015522525173268,-0.0169936144346844,0.0107026284824225,0.0127061189570777,-0.00240867023182681,-0.00202238257832656,0.00144377030057533
1954-12-31,0.00536011704186981,-0.0397237623198327,-0.0151088454379413,-0.0222952616380682,0.0107961243230665,0.0378356528117552,0.0298377672353965
