"Date","EON","RWE","BAYER","BMW","VOLKSWAGEN","SAP","DEUTSCHE.TELEKOM"
2020-01-13,9.733,29.35,75.32,73.74,181,123.92,14.668
2020-02-13,10.986,32.93,77.19,66.5,173.3,126.3,15.528
2020-03-13,8.676,23.91,50.82,45.9,116.55,92.7,11.758
2020-04-13,8.89,25.72,58,51.3,134,110.86,12.34
2020-05-13,9.228,27.01,57.19,48.66,130.5,105.18,13.455
2020-06-13,9.7,29.6,65.78,56.17,145,115.5,14.555
2020-07-13,10.045,32.02,64.47,58.79,145.7,136.7,15.08
2020-08-13,10.02,34.32,57.72,58.36,150.9,136.7,15.28
2020-09-13,9.942,32.11,55.5,64.04,160.4,134.4,15.315
2020-10-13,9.668,33.98,44.95,64.24,147,133.6,14.515
2020-11-13,9.346,34.99,47.8,70.64,158,102,14.935
2020-12-13,8.9,33.05,46.595,70.21,154,99.25,14.675
2021-01-13,8.942,37.94,52.76,69.22,165.8,105.82,15.175
2021-02-13,8.764,34,54,70.35,181.3,108.4,14.805
2021-03-13,8.828,32.52,53.05,77.79,231.4,103.76,16.49
2021-04-13,9.987,34.11,53.01,88.7,285,112.34,16.016
2021-05-13,10.63,31.5,56.67,81.76,257.8,111.3,16.604
2021-06-13,10.03,30.92,53.47,94.51,298.6,118,17.806
2021-07-13,10.164,31.52,50.72,88.02,285.8,126.9,18.4
2021-08-13,10.77,31.36,47.855,82.91,309.2,125.6,18.554
2021-09-13,11.07,33,46.02,81.77,283.2,122.74,17.5
2021-10-13,10.454,31.01,47.3,86.15,270.8,121.86,16.428
2021-11-13,11.036,32.1,51.03,92.86,284.8,124.82,17.112
2021-12-13,11.414,34.54,46.78,89.8,276.6,122.7,15.998
